created_at,id,full_text,user_name,user_screen_name,user_location,user_description,lang,clean_text,usernames,hashtags,links,sentiment
Wed Jul 22 19:52:51 +0000 2020,1286026441537314816,"RT @FEMAregion3: With thunderstorms rolling into much of the Mid-Atlantic this afternoon, here are some tips to help you stay safe:

⚡Follo…",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, With thunderstorms rolling into much of the Mid Atlantic this afternoon here are some tips to help you stay safe Follo,FEMAregion3,,,0.2333333333333333
Wed Jul 22 18:12:06 +0000 2020,1286001086785036288,"#COVID19 can have serious health consequences for Marylanders, no matter their age. 

If “MD COVID” appears on your caller ID, a public health professional is reaching out with information on how you can prevent the spread of COVID-19 in your community: https://t.co/xShdevP3gP https://t.co/YXBrLHhig3",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,COVID19 can have serious health consequences for Marylanders no matter their age If MD COVID appears on your caller ID a public health professional is reaching out with information on how you can prevent the spread of COVID 19 in your community,,COVID19,"https://t.co/xShdevP3gP,https://t.co/YXBrLHhig3",-0.07777777777777777
Wed Jul 22 14:58:34 +0000 2020,1285952382418006016,"Stay safe in extreme heat by drinking plenty of water, staying indoors, and checking on neighbors and loved ones who are at-risk for heat-related illness. 

To find a cooling center in your area, visit: https://t.co/XTJlBNLy2g https://t.co/9vLR2JW1rr",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Stay safe in extreme heat by drinking plenty of water staying indoors and checking on neighbors and loved ones who are at risk for heat related illness To find a cooling center in your area visit,,,"https://t.co/XTJlBNLy2g,https://t.co/9vLR2JW1rr",0.195
Wed Jul 22 14:03:11 +0000 2020,1285938445727277056,"Today, @MDHealthDept reports 80,172 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.49%.

Maryland has 3,276 deaths, 702,661 negative tests and 5,434 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/dfUraRmqMJ",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 80 172 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 49 Maryland has 3 276 deaths 702 661 negative tests and 5 434 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/dfUraRmqMJ",0.05000000000000002
Wed Jul 22 13:14:44 +0000 2020,1285926253799907332,"RT @GovLarryHogan: By taking advantage of the many #COVID19 testing options available statewide, you can help us find and fight the virus.…",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, By taking advantage of the many COVID19 testing options available statewide you can help us find and fight the virus,GovLarryHogan,COVID19,,0.45
Tue Jul 21 17:23:43 +0000 2020,1285626524167802885,"“Childhood vaccines are not optional – they are essential for keeping young people safe from infectious diseases.” said @GovLarryHogan. “It's important that we protect our youngest Marylanders against multiple diseases, not just COVID-19.”

Learn more: https://t.co/XZ8ctIas7t",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Childhood vaccines are not optional they are essential for keeping young people safe from infectious diseases said It s important that we protect our youngest Marylanders against multiple diseases not just COVID 19 Learn more,GovLarryHogan,,https://t.co/XZ8ctIas7t,0.25
Tue Jul 21 17:23:43 +0000 2020,1285626523274424324,"Child vaccinations across Maryland have fallen since the onset of #COVID19. According to the MDH Immunization Information System, the largest decrease in vaccinations given to children was in April 2020 with a decrease of 46% when compared with April 2019: https://t.co/XZ8ctIas7t",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Child vaccinations across Maryland have fallen since the onset of COVID19 According to the MDH Immunization Information System the largest decrease in vaccinations given to children was in April 2020 with a decrease of 46 when compared with April 2019,,COVID19,https://t.co/XZ8ctIas7t,0.0
Tue Jul 21 17:23:43 +0000 2020,1285626521974198273,"RELEASE: The @MDHealthDept has been awarded a $250,000 grant from the Pfizer Foundation to address a steep decline in childhood vaccination rates statewide due to the #COVID19 pandemic.

Learn more: https://t.co/XZ8ctIas7t https://t.co/vr8G3LHkE5",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,RELEASE The has been awarded a 250 000 grant from the Pfizer Foundation to address a steep decline in childhood vaccination rates statewide due to the COVID19 pandemic Learn more,MDHealthDept,COVID19,"https://t.co/XZ8ctIas7t,https://t.co/vr8G3LHkE5",0.1875
Tue Jul 21 17:01:33 +0000 2020,1285620943629451267,"RT @CDCgov: Wearing a cloth face covering correctly can help prevent the spread of #COVID19 to others. When you go out on essential trips,…",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, Wearing a cloth face covering correctly can help prevent the spread of COVID19 to others When you go out on essential trips,CDCgov,COVID19,,0.0
Tue Jul 21 16:55:09 +0000 2020,1285619333016715266,RT @GovLarryHogan: Wearing a mask is a simple step we can all take to slow the spread of COVID-19. Our health and economic recovery depends…,Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, Wearing a mask is a simple step we can all take to slow the spread of COVID 19 Our health and economic recovery depends,GovLarryHogan,,,-0.03333333333333335
Tue Jul 21 14:01:03 +0000 2020,1285575521913450497,"Today, @MDHealthDept reports 79,545 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.49%.

Maryland has 3,272 deaths, 684,822 negative tests and 5,380 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/Oq9t1T6cuC",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 79 545 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 49 Maryland has 3 272 deaths 684 822 negative tests and 5 380 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/Oq9t1T6cuC",0.05000000000000002
Tue Jul 21 13:00:23 +0000 2020,1285560250955976705,"Today's hot temperatures and high humidity may cause heat illnesses to occur. Be sure to stay in the shade and drink plenty of water, even if you don't feel thirsty. 

To find a cooling center in your area, visit: https://t.co/XTJlBNLy2g https://t.co/hiiUjTTTR6",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today s hot temperatures and high humidity may cause heat illnesses to occur Be sure to stay in the shade and drink plenty of water even if you don t feel thirsty To find a cooling center in your area visit,,,"https://t.co/XTJlBNLy2g,https://t.co/hiiUjTTTR6",0.2025
Tue Jul 21 00:00:00 +0000 2020,1285363863148322817,"Even after the sun goes down, heat can be dangerous—especially in cities. Dark pavement and buildings are very effective at absorbing heat. 

Learn how to stay safe and beat the heat: https://t.co/5RC2pTE7LG https://t.co/p6zJeGfMYY",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Even after the sun goes down heat can be dangerous especially in cities Dark pavement and buildings are very effective at absorbing heat Learn how to stay safe and beat the heat,,,"https://t.co/5RC2pTE7LG,https://t.co/p6zJeGfMYY",0.08206349206349207
Mon Jul 20 19:12:14 +0000 2020,1285291445306499072,"The @MDHealthDept monitors weather conditions and will adjust state #COVID19 test site hours as appropriate. Local and private site operators are encouraged to do the same.

For updates on weather-related changes, testing announcements and more, visit: https://t.co/Y7Dc9ieZvi. https://t.co/Fa0wX2sFn6",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,The monitors weather conditions and will adjust state COVID19 test site hours as appropriate Local and private site operators are encouraged to do the same For updates on weather related changes testing announcements and more visit,MDHealthDept,COVID19,"https://t.co/Y7Dc9ieZvi.,https://t.co/Fa0wX2sFn6",0.16666666666666666
Mon Jul 20 17:44:43 +0000 2020,1285269418801602560,"Isolation and quarantine protect the public by preventing exposure to people who have or may have #COVID19.

- Isolation separates people with COVID-19 from others.
- Quarantine separates people who were exposed in case they become sick.

Learn more: https://t.co/fnUlhgRqgj https://t.co/huaGbzDDHG",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Isolation and quarantine protect the public by preventing exposure to people who have or may have COVID19 Isolation separates people with COVID 19 from others Quarantine separates people who were exposed in case they become sick Learn more,,COVID19,"https://t.co/fnUlhgRqgj,https://t.co/huaGbzDDHG",-0.07142857142857144
Mon Jul 20 14:19:50 +0000 2020,1285217859036160001,"Today, @MDHealthDept reports 78,685 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.50%.

Maryland has 3,252 deaths, 670,594 negative tests and 5,344 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/5CZAbTr2kD",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 78 685 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 50 Maryland has 3 252 deaths 670 594 negative tests and 5 344 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/5CZAbTr2kD",0.05000000000000002
Mon Jul 20 13:02:22 +0000 2020,1285198362086703105,RT @NWS_BaltWash: Very hot &amp; humid conditions once again today with a Heat Advisory in effect for much of the area: https://t.co/5RyZgoXicj…,Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, BaltWash Very hot amp humid conditions once again today with a Heat Advisory in effect for much of the area,NWS_BaltWash,,https://t.co/5RyZgoXicj…,0.2625
Mon Jul 20 13:01:54 +0000 2020,1285198248240701441,"RT @GovLarryHogan: Nearly half of new cases belong to Marylanders in their 20s and 30s, and the positivity rate for Marylanders under 35 is…",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, Nearly half of new cases belong to Marylanders in their 20s and 30s and the positivity rate for Marylanders under 35 is,GovLarryHogan,,,-0.015151515151515152
Sun Jul 19 15:11:52 +0000 2020,1284868567046000640,"During extreme heat, be sure to drink plenty of water, stay indoors, keep strenuous activity to a minimum,  dress in lightweight clothing, and check on family and neighbors who do not have air conditioning.

To find a cooling center in your area, visit: https://t.co/XTJlBNLy2g https://t.co/tgHp4gONee",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,During extreme heat be sure to drink plenty of water stay indoors keep strenuous activity to a minimum dress in lightweight clothing and check on family and neighbors who do not have air conditioning To find a cooling center in your area visit,,,"https://t.co/XTJlBNLy2g,https://t.co/tgHp4gONee",0.09166666666666667
Sun Jul 19 14:27:23 +0000 2020,1284857370154356738,"Today, @MDHealthDept reports 78,131 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.46%.

Maryland has 3,247 deaths, 661,654 negative tests and 5,344 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/jMje0Eduqw",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 78 131 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 46 Maryland has 3 247 deaths 661 654 negative tests and 5 344 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/jMje0Eduqw",0.05000000000000002
Sun Jul 19 14:20:57 +0000 2020,1284855751354331136,RT @NWS_BaltWash: A Heat Advisory is in effect today from Noon until 8PM as well above normal temperatures and high humidity is expected. B…,Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, BaltWash A Heat Advisory is in effect today from Noon until 8PM as well above normal temperatures and high humidity is expected B,NWS_BaltWash,,,0.0525
Sat Jul 18 14:06:27 +0000 2020,1284489717464141826,"Today, @MDHealthDept reports 77,206 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.44%.

Maryland has 3,238 deaths, 643,780 negative tests and 5,344 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/4IOOa4U82R",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 77 206 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 44 Maryland has 3 238 deaths 643 780 negative tests and 5 344 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/4IOOa4U82R",0.05000000000000002
Fri Jul 17 18:27:21 +0000 2020,1284192986604208137,"Wearing a face covering CORRECTLY helps prevent the spread of #COVID19. Be sure your face covering covers both your nose and mouth, and remember to wash after use. #MasksOnMaryland 

For guidance, visit: https://t.co/RvbGYsi7Fl https://t.co/a5RwK0aFZj",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Wearing a face covering CORRECTLY helps prevent the spread of COVID19 Be sure your face covering covers both your nose and mouth and remember to wash after use MasksOnMaryland For guidance visit,,"COVID19,MasksOnMaryland","https://t.co/RvbGYsi7Fl,https://t.co/a5RwK0aFZj",0.5
Fri Jul 17 15:12:27 +0000 2020,1284143938388070400,"RT @MDMEMA: HOT🔥temperatures expected today. Remember:

- Hydrate Hydrate Hydrate💧

- If you must work outside, take breaks in the shade as…",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en, HOT temperatures expected today Remember Hydrate Hydrate Hydrate If you must work outside take breaks in the shade as,MDMEMA,,,0.049999999999999996
Fri Jul 17 14:16:28 +0000 2020,1284129850429710337,"Today, @MDHealthDept reports 76,371 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.43%.

Maryland has 3,227 deaths, 631,845 negative tests and 5,286 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/BUeoW8lhzF",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 76 371 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 43 Maryland has 3 227 deaths 631 845 negative tests and 5 286 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/BUeoW8lhzF",0.05000000000000002
Thu Jul 16 19:11:34 +0000 2020,1283841726067748865,"Free #COVID19 testing will be available Friday, 7/17 from 8am-2pm at the Baltimore Convention Center. No doctor's order required. Walk-ups welcome.

For more information, visit: https://t.co/WtbiBsJV3z https://t.co/gBcauLQxSY",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Free COVID19 testing will be available Friday 7 17 from 8am 2pm at the Baltimore Convention Center No doctor s order required Walk ups welcome For more information visit,,COVID19,"https://t.co/WtbiBsJV3z,https://t.co/gBcauLQxSY",0.4
Thu Jul 16 15:11:05 +0000 2020,1283781206073638920,"If you've tested positive for #COVID19, CovidCONNECT offers resources and support. Join virtual supports groups, learn about research opportunities, and connect with others who have been through this experience. 

Register for this free community resource: https://t.co/eCawR8xBhn",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,If you ve tested positive for COVID19 CovidCONNECT offers resources and support Join virtual supports groups learn about research opportunities and connect with others who have been through this experience Register for this free community resource,,COVID19,https://t.co/eCawR8xBhn,0.24242424242424243
Thu Jul 16 14:02:08 +0000 2020,1283763854489591811,"Today, @MDHealthDept reports 75,664 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.61%.

Maryland has 3,215 deaths, 616,865 negative tests and 5,286 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/kdmZFkFQuY",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 75 664 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 61 Maryland has 3 215 deaths 616 865 negative tests and 5 286 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/kdmZFkFQuY",0.05000000000000002
Wed Jul 15 20:30:59 +0000 2020,1283499321653067784,"Marylanders are advised to refrain from traveling to areas that are experiencing rapidly escalating #COVID19 numbers. Any resident who has traveled to, or is returning from, out-of-state should immediately get tested.

To find a test site, visit: https://t.co/Y7Dc9ieZvi",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Marylanders are advised to refrain from traveling to areas that are experiencing rapidly escalating COVID19 numbers Any resident who has traveled to or is returning from out of state should immediately get tested To find a test site visit,,COVID19,https://t.co/Y7Dc9ieZvi,0.0
Wed Jul 15 20:30:58 +0000 2020,1283499320692682754,"“Young people should avoid crowded bars, house parties, and large gatherings of any kind. You are not only putting yourselves at risk, you are also risking the lives of your parents, your grandparents, and other vulnerable people in the community,” said @GovLarryHogan.",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Young people should avoid crowded bars house parties and large gatherings of any kind You are not only putting yourselves at risk you are also risking the lives of your parents your grandparents and other vulnerable people in the community said,GovLarryHogan,,,0.04821428571428571
Wed Jul 15 20:30:58 +0000 2020,1283499319501488136,The #COVID19 positivity rate among Marylanders under the age of 35 is now 83% higher than those 35 and older. https://t.co/aQrY2zllyN,Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,The COVID19 positivity rate among Marylanders under the age of 35 is now 83 higher than those 35 and older,,COVID19,https://t.co/aQrY2zllyN,0.20833333333333331
Wed Jul 15 19:50:42 +0000 2020,1283489185937186816,"REMINDER: Today is the last day to enroll in a health care plan through @MarylandConnect's Emergency Enrollment Period. Uninsured Marylanders have until July 15 to enroll in health coverage through the state marketplace. 

For more information visit: https://t.co/YmHpxVjyLX https://t.co/1cUS0V8cIK",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,REMINDER Today is the last day to enroll in a health care plan through s Emergency Enrollment Period Uninsured Marylanders have until July 15 to enroll in health coverage through the state marketplace For more information visit,MarylandConnect,,"https://t.co/YmHpxVjyLX,https://t.co/1cUS0V8cIK",0.25
Wed Jul 15 18:34:02 +0000 2020,1283469892491137112,"With more than 220 testing sites open across the state, all Marylanders are encouraged to get tested for #COVID19. People with the virus may not have symptoms and can infect others without knowing it.

To find a testing site near you, visit: https://t.co/Y7Dc9ieZvi https://t.co/q7fgIDIMuo",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,With more than 220 testing sites open across the state all Marylanders are encouraged to get tested for COVID19 People with the virus may not have symptoms and can infect others without knowing it To find a testing site near you visit,,COVID19,"https://t.co/Y7Dc9ieZvi,https://t.co/q7fgIDIMuo",0.19999999999999998
Wed Jul 15 18:31:49 +0000 2020,1283469335546265600,"RT @MDMEMA: Ya contamos con 220 sitios de pruebas en el estado, y motivamos a todos los Marylanders que se realicen la prueba de #COVID19.…",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",es, Ya contamos con 220 sitios de pruebas en el estado y motivamos a todos los Marylanders que se realicen la prueba de COVID19,MDMEMA,COVID19,,0.0
Wed Jul 15 14:15:29 +0000 2020,1283404824646647808,"Today, @MDHealthDept reports 75,016 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 4.49%.

Maryland has 3,209 deaths, 605,072 negative tests and 5,238 patients have been released from isolation.

https://t.co/9LEHaSDimJ https://t.co/GH4Ixk8R6D",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Today reports 75 016 confirmed cases of COVID19 in Maryland The statewide positivity rate is now 4 49 Maryland has 3 209 deaths 605 072 negative tests and 5 238 patients have been released from isolation,MDHealthDept,COVID19,"https://t.co/9LEHaSDimJ,https://t.co/GH4Ixk8R6D",0.05000000000000002
Tue Jul 14 18:26:14 +0000 2020,1283105540273569794,"Six Flags America has new #COVID19 testing hours: 7-10 am on Wednesdays and Fridays. The next testing days are 7/15 and 7/17. No appointment or doctor’s order are required. Patients do not need to exhibit symptoms to get tested.

For information, visit: https://t.co/CaKTaEsORe https://t.co/uzavLLttz1",Maryland Department of Health,MDHealthDept,"Baltimore, MD","The Maryland Department of Health promotes the health and safety of all Marylanders through disease prevention, access to care and customer service.",en,Six Flags America has new COVID19 testing hours 7 10 am on Wednesdays and Fridays The next testing days are 7 15 and 7 17 No appointment or doctor s order are required Patients do not need to exhibit symptoms to get tested For information visit,,COVID19,"https://t.co/CaKTaEsORe,https://t.co/uzavLLttz1",0.06818181818181818
